"","Year","Month","Run","Salvage.Total","Total.Exports","OMR","Total.exports.z","OMR.z","Discharge.z"
"69",1994,"July","Fall",0,4117.193549,-2730.451613,-0.233770708398872,-0.669795394615023,-0.846299776656823
"70",1994,"July","Winter",0,4117.193549,-2730.451613,-0.233770708398872,-0.669795394615023,-0.846299776656823
"71",1994,"July","LateFall",0,4117.193549,-2730.451613,-0.233770708398872,-0.669795394615023,-0.846299776656823
"72",1994,"July","Spring",0,4117.193549,-2730.451613,-0.233770708398872,-0.669795394615023,-0.846299776656823
"73",1994,"June","Spring",0,1647.3333337,-1095.633333,-1.07307685978918,-0.327884660772796,-1.05706246476598
"74",1994,"June","LateFall",0,1647.3333337,-1095.633333,-1.07307685978918,-0.327884660772796,-1.05706246476598
"75",1994,"June","Fall",55,1647.3333337,-1095.633333,-1.07307685978918,-0.327884660772796,-1.05706246476598
"76",1994,"June","Winter",0,1647.3333337,-1095.633333,-1.07307685978918,-0.327884660772796,-1.05706246476598
"77",1994,"March","Fall",0,4139.290323,-1543.580645,-0.226261798287605,-0.42156968744657,-0.760298232598866
"78",1994,"March","Spring",230,4139.290323,-1543.580645,-0.226261798287605,-0.42156968744657,-0.760298232598866
"79",1994,"March","LateFall",12,4139.290323,-1543.580645,-0.226261798287605,-0.42156968744657,-0.760298232598866
"80",1994,"March","Winter",1625,4139.290323,-1543.580645,-0.226261798287605,-0.42156968744657,-0.760298232598866
"81",1994,"May","Fall",2024,1826.3225803,-1012.870968,-1.01225286061162,-0.310575494795237,-0.966584128003638
"82",1994,"May","Spring",569,1826.3225803,-1012.870968,-1.01225286061162,-0.310575494795237,-0.966584128003638
"83",1994,"May","Winter",6,1826.3225803,-1012.870968,-1.01225286061162,-0.310575494795237,-0.966584128003638
"84",1994,"May","LateFall",0,1826.3225803,-1012.870968,-1.01225286061162,-0.310575494795237,-0.966584128003638
"89",1994,"October","Winter",0,5249.290322,-2512.645161,0.150937616251236,-0.624242708576492,-1.01624118392203
"90",1994,"October","Spring",0,5249.290322,-2512.645161,0.150937616251236,-0.624242708576492,-1.01624118392203
"91",1994,"October","Fall",12,5249.290322,-2512.645161,0.150937616251236,-0.624242708576492,-1.01624118392203
