Year,Month.num,Discharge.cfs
2013,10,7445
2013,11,8255
2013,12,7778
2014,1,6418
2014,2,10230
2014,3,14080
2014,4,9050
2014,5,5091
2014,6,7895
2014,7,8658
2014,8,8459
2014,9,8158
2014,10,6235
2014,11,7390
2014,12,32230
2015,1,9839
2015,2,16380
2015,3,7141
2015,4,5882
2015,5,6746
2015,6,5552
2015,7,5919
2015,8,6332
2015,9,7727
2015,10,7334
2015,11,6451
2015,12,10400
2016,1,26420
2016,2,17970
2016,3,44660
2016,4,15490
2016,5,9219
2016,6,10100
2016,7,13460
2016,8,15090
2016,9,14790
2016,10,10550
2016,11,13480
2016,12,31130
2017,1,56850
2017,2,71660
2017,3,59170
2017,4,57780
2017,5,40260
2017,6,20540
2017,7,11750
2017,8,16920
2017,9,18280
2017,10,10970
2017,11,11310
2017,12,11020
2018,1,15200
2018,2,10460
2018,3,22350
2018,4,27590
2018,5,9016
2018,6,9269
2018,7,11460
2018,8,15530
2018,9,15260
2018,10,9754
2018,11,8285
2018,12,13520
