Year,Month.num,Discharge.cfs
1945,10,8713
1945,11,13740
1945,12,32730
1946,1,47060
1946,2,21270
1946,3,21730
1946,4,23810
1946,5,18570
1946,6,9226
1946,7,6718
1946,8,7060
1946,9,8256
1946,10,8068
1946,11,10820
1946,12,15290
1947,1,10280
1947,2,18740
1947,3,23890
1947,4,17710
1947,5,6577
1947,6,6904
1947,7,4848
1947,8,5385
1947,9,6852
1947,10,8602
1947,11,9891
1947,12,7941
1948,1,19130
1948,2,10090
1948,3,15410
1948,4,41790
1948,5,40570
1948,6,24720
1948,7,8321
1948,8,8775
1948,9,10160
1948,10,9794
1948,11,9917
1948,12,11240
1949,1,10720
1949,2,11900
1949,3,40050
1949,4,22560
1949,5,15640
1949,6,7410
1949,7,6105
1949,8,6952
1949,9,8457
1949,10,6609
1949,11,7828
1949,12,6972
1950,1,19330
1950,2,31500
1950,3,23310
1950,4,26010
1950,5,19660
1950,6,11830
1950,7,6490
1950,8,6548
1950,9,8651
1950,10,8835
1950,11,26520
1950,12,48760
1951,1,40430
1951,2,51850
1951,3,31940
1951,4,18810
1951,5,19450
1951,6,7951
1951,7,7988
1951,8,9415
1951,9,9716
1951,10,8907
1951,11,11540
1951,12,29330
1952,1,51470
1952,2,55560
1952,3,47970
1952,4,54840
1952,5,51600
1952,6,29590
1952,7,13790
1952,8,9802
1952,9,11130
1952,10,9441
1952,11,9991
1952,12,28930
1953,1,57870
1953,2,29950
1953,3,21080
1953,4,22120
1953,5,28560
1953,6,23370
1953,7,8893
1953,8,8773
1953,9,12510
1953,10,10510
1953,11,13180
1953,12,13110
1954,1,25180
1954,2,50880
1954,3,41110
1954,4,41290
1954,5,19360
1954,6,10080
1954,7,8010
1954,8,9651
1954,9,10990
1954,10,9890
1954,11,14120
1954,12,20900
1955,1,19310
1955,2,12870
1955,3,11690
1955,4,12430
1955,5,16920
1955,6,8584
1955,7,7703
1955,8,7624
1955,9,8805
1955,10,6968
1955,11,9268
1955,12,33600
1956,1,59930
1956,2,47120
1956,3,41790
1956,4,27730
1956,5,36100
1956,6,19460
1956,7,8843
1956,8,8279
1956,9,11430
1956,10,11080
1956,11,12640
1956,12,10600
1957,1,10900
1957,2,17060
1957,3,43050
1957,4,16750
1957,5,26030
1957,6,13260
1957,7,6846
1957,8,6908
1957,9,9879
1957,10,16860
1957,11,16530
1957,12,22080
1958,1,33260
1958,2,64300
1958,3,50050
1958,4,53730
1958,5,43170
1958,6,26130
1958,7,10750
1958,8,10950
1958,9,13050
1958,10,11100
1958,11,11370
1958,12,10760
1959,1,26120
1959,2,37680
1959,3,24280
1959,4,12670
1959,5,10540
1959,6,6512
1959,7,6905
1959,8,8750
1959,9,9549
1959,10,7289
1959,11,6721
1959,12,6586
1960,1,10620
1960,2,32910
1960,3,30240
1960,4,15980
1960,5,13560
1960,6,8158
1960,7,7510
1960,8,7698
1960,9,8497
1960,10,7099
1960,11,10630
1960,12,16450
1961,1,10450
1961,2,38190
1961,3,28550
1961,4,16250
1961,5,12240
1961,6,9058
1961,7,7529
1961,8,8755
1961,9,8784
1961,10,6621
1961,11,8029
1961,12,14960
1962,1,9796
1962,2,37890
1962,3,31180
1962,4,22350
1962,5,16500
1962,6,10780
1962,7,6977
1962,8,8465
1962,9,9566
1962,10,24920
1962,11,13370
1962,12,29250
1963,1,16610
1963,2,49130
1963,3,21280
1963,4,53370
1963,5,36560
1963,6,13640
1963,7,8804
1963,8,8289
1963,9,13330
1963,10,11750
1963,11,19490
1963,12,17060
1964,1,21580
1964,2,17670
1964,3,11770
1964,4,11120
1964,5,12310
1964,6,9002
1964,7,8389
1964,8,9341
1964,9,10990
1964,10,8415
1964,11,13090
1964,12,30680
1965,1,59380
1965,2,38840
1965,3,18600
1965,4,36490
1965,5,23900
1965,6,14310
1965,7,9463
1965,8,11700
1965,9,13110
1965,10,12470
1965,11,18590
1965,12,20130
1966,1,32560
1966,2,25310
1966,3,21760
1966,4,20340
1966,5,13750
1966,6,8234
1966,7,10070
1966,8,10450
1966,9,10100
1966,10,8541
1966,11,16760
1966,12,40220
1967,1,30170
1967,2,44750
1967,3,34100
1967,4,42140
1967,5,43970
1967,6,35180
1967,7,15460
1967,8,12500
1967,9,15460
1967,10,13440
1967,11,11460
1967,12,12960
1968,1,18220
1968,2,36060
1968,3,31540
1968,4,11540
1968,5,12620
1968,6,8596
1968,7,9327
1968,8,11710
1968,9,12190
1968,10,10370
1968,11,11770
1968,12,20620
1969,1,44910
1969,2,60760
1969,3,39800
1969,4,37050
1969,5,32360
1969,6,18220
1969,7,11870
1969,8,16130
1969,9,18100
1969,10,12370
1969,11,12980
1969,12,31260
1970,1,59980
1970,2,58660
1970,3,38550
1970,4,12330
1970,5,12560
1970,6,9701
1970,7,9984
1970,8,12490
1970,9,15650
1970,10,13580
1970,11,20210
1970,12,55150
1971,1,45780
1971,2,27010
1971,3,28410
1971,4,33440
1971,5,25710
1971,6,24150
1971,7,17130
1971,8,20040
1971,9,22110
1971,10,14050
1971,11,13900
1971,12,18960
1972,1,16870
1972,2,18840
1972,3,21410
1972,4,12140
1972,5,12010
1972,6,12040
1972,7,12640
1972,8,13120
1972,9,14620
1972,10,14270
1972,11,21040
1972,12,23750
1973,1,48760
1973,2,56430
1973,3,44990
1973,4,18500
1973,5,14540
1973,6,11880
1973,7,12550
1973,8,14560
1973,9,15710
1973,10,14080
1973,11,43300
1973,12,57250
1974,1,63790
1974,2,44890
1974,3,55370
1974,4,55770
1974,5,23810
1974,6,19760
1974,7,19110
1974,8,21230
1974,9,21790
1974,10,17120
1974,11,19510
1974,12,23060
1975,1,16740
1975,2,40270
1975,3,44680
1975,4,27000
1975,5,25490
1975,6,20000
1975,7,15380
1975,8,17240
1975,9,18330
1975,10,15860
1975,11,18960
1975,12,22320
1976,1,12920
1976,2,11480
1976,3,12740
1976,4,11610
1976,5,9754
1976,6,10270
1976,7,11360
1976,8,12480
1976,9,11700
1976,10,7800
1976,11,7401
1976,12,6826
1977,1,9460
1977,2,7810
1977,3,6731
1977,4,6188
1977,5,7433
1977,6,5705
1977,7,7529
1977,8,6912
1977,9,6300
1977,10,4725
1977,11,6907
1977,12,11870
1978,1,41540
1978,2,38090
1978,3,46370
1978,4,33090
1978,5,18330
1978,6,9453
1978,7,12230
1978,8,14290
1978,9,14880
1978,10,10730
1978,11,10930
1978,12,11720
1979,1,19300
1979,2,27390
1979,3,24430
1979,4,13060
1979,5,11950
1979,6,9227
1979,7,14190
1979,8,13550
1979,9,12030
1979,10,10370
1979,11,12590
1979,12,18180
1980,1,51790
1980,2,46340
1980,3,49870
1980,4,16670
1980,5,11840
1980,6,14930
1980,7,13510
1980,8,12860
1980,9,13450
1980,10,9604
1980,11,9317
1980,12,13780
1981,1,16770
1981,2,22210
1981,3,23020
1981,4,15650
1981,5,11450
1981,6,7823
1981,7,13850
1981,8,13220
1981,9,11230
1981,10,7890
1981,11,27480
1981,12,52110
1982,1,53140
1982,2,49050
1982,3,53200
1982,4,62140
1982,5,32720
1982,6,18840
1982,7,14560
1982,8,17080
1982,9,20930
1982,10,15950
1982,11,24440
1982,12,45390
1983,1,38910
1983,2,67300
1983,3,71340
1983,4,52060
1983,5,50520
1983,6,38790
1983,7,24550
1983,8,21400
1983,9,21230
1983,10,18450
1983,11,39540
1983,12,64470
1984,1,49760
1984,2,27500
1984,3,26810
1984,4,15250
1984,5,12910
1984,6,12400
1984,7,17790
1984,8,16840
1984,9,15730
1984,10,10700
1984,11,22290
1984,12,27900
1985,1,14300
1985,2,15590
1985,3,12630
1985,4,11040
1985,5,11300
1985,6,11180
1985,7,13920
1985,8,11830
1985,9,10630
1985,10,8315
1985,11,9154
1985,12,14080
1986,1,17240
1986,2,58800
1986,3,63840
1986,4,19450
1986,5,10320
1986,6,9253
1986,7,12770
1986,8,12000
1986,9,15740
1986,10,12490
1986,11,10790
1986,12,11470
1987,1,12180
1987,2,16560
1987,3,20310
1987,4,11030
1987,5,9710
1987,6,9779
1987,7,12790
1987,8,12500
1987,9,9797
1987,10,7652
1987,11,7025
1987,12,14270
1988,1,23170
1988,2,10890
1988,3,10340
1988,4,15430
1988,5,9940
1988,6,9684
1988,7,12650
1988,8,12610
1988,9,10770
1988,10,8482
1988,11,10620
1988,12,11360
1989,1,12140
1989,2,11710
1989,3,38760
1989,4,18110
1989,5,10860
1989,6,10410
1989,7,14840
1989,8,15480
1989,9,14320
1989,10,11030
1989,11,11910
1989,12,13520
1990,1,16770
1990,2,12280
1990,3,12110
1990,4,14150
1990,5,10400
1990,6,9030
1990,7,9053
1990,8,12360
1990,9,9113
1990,10,6647
1990,11,7056
1990,12,10050
1991,1,8561
1991,2,7591
1991,3,23590
1991,4,9640
1991,5,6744
1991,6,7093
1991,7,7106
1991,8,7474
1991,9,8903
1991,10,7505
1991,11,6048
1991,12,8004
1992,1,9737
1992,2,24950
1992,3,18750
1992,4,8667
1992,5,5118
1992,6,4858
1992,7,5089
1992,8,6693
1992,9,9359
1992,10,6261
1992,11,5987
1992,12,11290
1993,1,41490
1993,2,40560
1993,3,41440
1993,4,36770
1993,5,18070
1993,6,24200
1993,7,14790
1993,8,17600
1993,9,13620
1993,10,11270
1993,11,10160
1993,12,17080
1994,1,11830
1994,2,17620
1994,3,11600
1994,4,7270
1994,5,8098
1994,6,6562
1994,7,10140
1994,8,10600
1994,9,13100
1994,10,7255
1994,11,7696
1994,12,14530
1995,1,53680
1995,2,52440
1995,3,61130
1995,4,52720
1995,5,50370
1995,6,31910
1995,7,18750
1995,8,16520
1995,9,19760
1995,10,11190
1995,11,10150
1995,12,21350
1996,1,30130
1996,2,61590
1996,3,49150
1996,4,29770
1996,5,31540
1996,6,17930
1996,7,17060
1996,8,17880
1996,9,14850
1996,10,9616
1996,11,11430
1996,12,44920
1997,1,72110
1997,2,48390
1997,3,19050
1997,4,10930
1997,5,9334
1997,6,13040
1997,7,18580
1997,8,16350
1997,9,12020
1997,10,9744
1997,11,12160
1997,12,18370
1998,1,45320
1998,2,70030
1998,3,54070
1998,4,46550
1998,5,36650
1998,6,45560
1998,7,21960
1998,8,21190
1998,9,21120
1998,10,13110
1998,11,17690
1998,12,39650
1999,1,27640
1999,2,53390
1999,3,48370
1999,4,25060
1999,5,15020
1999,6,13420
1999,7,18240
1999,8,15440
1999,9,13550
1999,10,9690
1999,11,11070
1999,12,13720
2000,1,19930
2000,2,51140
2000,3,50410
2000,4,22590
2000,5,16930
2000,6,14160
2000,7,18670
2000,8,16730
2000,9,14050
2000,10,10040
2000,11,10410
2000,12,11660
2001,1,15420
2001,2,18840
2001,3,22150
2001,4,10580
2001,5,7705
2001,6,10430
2001,7,13370
2001,8,12220
2001,9,11220
2001,10,7392
2001,11,11270
2001,12,24610
2002,1,34050
2002,2,16050
2002,3,17810
2002,4,11040
2002,5,10820
2002,6,12020
2002,7,16470
2002,8,15720
2002,9,12440
2002,10,8764
2002,11,10570
2002,12,26260
2003,1,47330
2003,2,30360
2003,3,19820
2003,4,19160
2003,5,34490
2003,6,18210
2003,7,19610
2003,8,17270
2003,9,13970
2003,10,9643
2003,11,10790
2003,12,25270
2004,1,32650
2004,2,40270
2004,3,41770
2004,4,18960
2004,5,10940
2004,6,13530
2004,7,17870
2004,8,16510
2004,9,13470
2004,10,10930
2004,11,10300
2004,12,15500
2005,1,30010
2005,2,19990
2005,3,23500
2005,4,16300
2005,5,32620
2005,6,20560
2005,7,15460
2005,8,13720
2005,9,14750
2005,10,11850
2005,11,11370
2005,12,28590
2006,1,56460
2006,2,39690
2006,3,60340
2006,4,65970
2006,5,42120
2006,6,21400
2006,7,15470
2006,8,16310
2006,9,16270
2006,10,10490
2006,11,10740
2006,12,15520
2007,1,12960
2007,2,21260
2007,3,16430
2007,4,12280
2007,5,8921
2007,6,10970
2007,7,16700
2007,8,15490
2007,9,14710
2007,10,10240
2007,11,10260
2007,12,12290
2008,1,21970
2008,2,25580
2008,3,12910
2008,4,10100
2008,5,8883
2008,6,9652
2008,7,11550
2008,8,10990
2008,9,10710
2008,10,7900
2008,11,9350
2008,12,8776
2009,1,8967
2009,2,20090
2009,3,21110
2009,4,11570
2009,5,13780
2009,6,10640
2009,7,15690
2009,8,13450
2009,9,11110
2009,10,8984
2009,11,8440
2009,12,10170
2010,1,26830
2010,2,26830
2010,3,18040
2010,4,17540
2010,5,13540
2010,6,16410
2010,7,14680
2010,8,15590
2010,9,16250
2010,10,11520
2010,11,11500
2010,12,36370
2011,1,29990
2011,2,21660
2011,3,45550
2011,4,45060
2011,5,29270
2011,6,32710
2011,7,17210
2011,8,14690
2011,9,18400
2011,10,14650
2011,11,11310
2011,12,13370
2012,1,14210
2012,2,13260
2012,3,19240
2012,4,22550
2012,5,10710
2012,6,11680
2012,7,17480
2012,8,16260
2012,9,14830
2012,10,10960
2012,11,11030
2012,12,41560
2013,1,19380
2013,2,13630
2013,3,12160
2013,4,11460
2013,5,11170
2013,6,12050
2013,7,15270
2013,8,15870
2013,9,12550
